assists,attacking_bonus,big_chances_created,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clearances_blocks_interceptions,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,crosses,defending_bonus,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,key_passes,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,recoveries,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,533595,0,0,-1,1,0,0,0,4,0.0,0.0,0,Jusef,0.0,0,0,469,False,0,23,,None,44,0,0,0,533595.jpg,1.0,1,0,0,Erabi,0.0,False,None,a,2,1987,2,10,0,6,0,0.0,0.5,Erabi,0
1,0,0,None,None,0,6,250991,0,0,-10,10,2,0,0,3,1.3,0.0,6,Aljosa,0.0,12,2,488,False,3,451,,None,60,0,0,0,250991.jpg,2.2,14,0,0,Matko,0.0,False,None,a,2,1987,28,111,0,99,0,0.0,4.7,Matko,2
0,0,0,None,None,0,0,560290,0,0,0,0,0,0,0,2,0.3,0.0,0,Ben,0.0,1,0,516,False,0,8,,None,40,0,0,0,560290.jpg,1.0,1,0,0,Engdahl,0.0,False,None,a,2,1987,1,4,0,1,0,0.0,0.2,Engdahl,0
0,0,0,None,None,0,0,545078,0,0,0,0,0,0,0,2,1.2,0.0,0,Josafat,0.0,0,0,520,False,0,0,,None,40,0,0,0,545078.jpg,0.0,0,0,0,Mendes,0.0,False,None,a,2,1987,0,0,0,0,0,0.0,0.0,Mendes,0
3,7,4,100,100,5,65,185531,0,0,-3,3,9,15,0,2,5.3,0.0,5,Dennis,0.0,27,0,34,False,20,1409,,2021-10-16T05:34:41.011148Z,52,0,0,0,185531.jpg,3.8,108,0,0,Widgren,0.5,False,None,a,3,3056,75,241,0,267,0,0.0,14.4,Widgren,2
0,0,0,0,0,0,0,245772,0,0,-2,2,0,0,0,1,0.0,0.0,0,Lukas,0.0,0,0,56,False,0,0,Lämnat för Vendsyssel,2021-07-23T12:08:51.034817Z,43,0,0,0,245772.jpg,0.0,0,0,0,Jonsson,3.6,False,None,u,3,3056,0,34,0,2093,0,0.0,0.0,Jonsson,0
0,0,0,0,0,4,17,95919,0,0,1,-1,0,24,2,1,0.0,0.0,0,David,0.0,23,0,57,False,0,1530,Skadad. Tillbaka i spel: okänt,2021-12-04T09:19:06.875917Z,51,0,0,0,95919.jpg,4.9,184,0,62,Mitov Nilsson,6.1,False,None,i,3,3056,84,2317,0,2799,0,0.0,16.5,Mitov Nilsson,0
0,0,0,100,100,1,4,481666,0,0,0,0,0,4,1,1,0.0,0.0,0,Hannes,0.0,10,0,58,False,0,360,,2021-04-06T06:32:53.592444Z,40,0,0,0,481666.jpg,4.0,35,0,14,Sveijer,6.3,False,None,a,3,3056,16,1674,0,828,0,0.0,4.0,Sveijer,0
0,0,0,0,0,4,109,61753,0,0,-1,1,2,15,0,2,0.0,0.0,0,Tim,0.0,36,0,59,False,4,1890,Skadad. Tillbaka i spel: okänt,2021-12-04T09:19:06.894096Z,49,0,0,0,61753.jpg,2.8,107,0,0,Björkström,1.4,False,None,i,3,3056,59,219,0,547,0,0.0,12.0,Björkström,2
0,0,0,0,0,3,63,523956,0,0,-5,5,0,14,0,2,0.0,0.0,0,Patrick,0.0,14,0,60,False,1,812,Knäskadad. Missar resten av säsongen,2021-09-13T11:26:47.051863Z,40,0,0,0,523956.jpg,3.7,66,0,0,Nwadike,0.5,False,None,i,3,3056,41,1065,0,1018,0,0.0,10.2,Nwadike,0
1,1,1,100,100,1,13,157974,0,0,-4,4,4,0,0,2,0.7,0.0,0,Karl,0.0,8,0,61,False,5,421,,2021-05-04T07:03:34.161372Z,46,0,0,0,157974.jpg,1.4,22,0,0,Larson,0.4,False,None,a,3,3056,30,12,0,143,0,0.0,6.5,Larson,0
1,4,1,0,0,1,11,433876,0,0,-4,4,12,5,0,2,0.0,0.0,0,Axel,0.0,14,0,62,False,15,810,Lämnat för Arsenal Tula,2021-07-07T09:32:05.665784Z,56,0,0,0,433876.jpg,3.1,46,0,0,Björnström,7.9,False,None,u,3,3056,28,433,0,5577,0,0.0,5.0,Björnström,2
0,0,0,0,0,0,0,51670,0,0,0,0,0,0,0,2,0.0,0.0,0,Kebba,0.0,0,0,63,False,0,0,Lämnat för Vasalunds IF,2021-03-15T13:22:17.585857Z,50,0,0,0,51670.jpg,0.0,0,0,0,Ceesay,0.1,False,None,u,3,3056,0,0,0,15,0,0.0,0.0,Ceesay,0
0,0,0,0,0,0,0,160796,0,0,-2,2,0,0,0,3,0.0,0.0,0,Sam,0.0,0,0,64,False,0,0,Skadad. Tillbaka i spel: okänt,2021-12-04T09:19:06.910930Z,53,0,0,0,160796.jpg,0.0,0,0,0,Lundholm,0.0,False,None,i,3,3056,0,2,0,13,0,0.0,0.0,Lundholm,0
