,Season,Formation,Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
5,,,750,750,1879,"[54, 55, 88, 59, 91, 106, 46, 64, 69, 71, 47]","[46, 47, 54, 55, 59, 64, 69, 71, 88, 91, 106]","[437, 302, 209, 70, 247, 234, 468, 245, 97, 100, 350]"
6,,,800,800,1962,"[55, 88, 95, 59, 91, 106, 58, 61, 69, 71, 47]","[47, 55, 58, 59, 61, 69, 71, 88, 91, 95, 106]","[302, 209, 235, 70, 247, 234, 381, 380, 97, 100, 350]"
7,,,850,843,2026,"[55, 88, 95, 87, 91, 106, 58, 64, 69, 71, 59]","[55, 58, 59, 64, 69, 71, 87, 88, 91, 95, 106]","[302, 209, 235, 199, 247, 234, 381, 245, 97, 100, 260]"
8,,,900,891,2088,"[88, 95, 131, 59, 91, 106, 58, 64, 69, 71, 59]","[58, 59, 59, 64, 69, 71, 88, 91, 95, 106, 131]","[209, 235, 394, 70, 247, 234, 381, 245, 97, 100, 260]"
9,,,950,946,2136,"[88, 95, 131, 91, 103, 106, 64, 69, 69, 71, 59]","[59, 64, 69, 69, 71, 88, 91, 95, 103, 106, 131]","[209, 235, 394, 247, 252, 234, 245, 97, 267, 100, 260]"
10,,,1000,946,2136,"[88, 95, 131, 91, 103, 106, 64, 69, 69, 71, 59]","[59, 64, 69, 69, 71, 88, 91, 95, 103, 106, 131]","[209, 235, 394, 247, 252, 234, 245, 97, 267, 100, 260]"
0,,,500,500,1138,"[46, 49, 43, 43, 44, 52, 41, 44, 45, 46, 47]","[41, 43, 43, 44, 44, 45, 46, 46, 47, 49, 52]","[548, 159, 367, 41, 127, 132, 220, 117, 171, 468, 350]"
1,,,550,550,1383,"[46, 55, 50, 52, 52, 59, 45, 46, 49, 49, 47]","[45, 46, 46, 47, 49, 49, 50, 52, 52, 55, 59]","[548, 302, 250, 132, 414, 70, 171, 468, 443, 290, 350]"
2,,,600,600,1538,"[46, 55, 52, 52, 59, 106, 44, 45, 46, 49, 46]","[44, 45, 46, 46, 46, 49, 52, 52, 55, 59, 106]","[548, 302, 132, 414, 70, 234, 117, 171, 468, 443, 54]"
3,,,650,649,1689,"[54, 55, 52, 52, 59, 106, 45, 46, 64, 69, 47]","[45, 46, 47, 52, 52, 54, 55, 59, 64, 69, 106]","[437, 302, 132, 414, 70, 234, 171, 468, 245, 97, 350]"
4,,,700,700,1811,"[54, 55, 52, 59, 91, 106, 45, 58, 64, 69, 47]","[45, 47, 52, 54, 55, 58, 59, 64, 69, 91, 106]","[437, 302, 132, 70, 247, 234, 171, 381, 245, 97, 350]"
5,,,750,750,1916,"[55, 88, 52, 59, 91, 106, 58, 61, 64, 69, 47]","[47, 52, 55, 58, 59, 61, 64, 69, 88, 91, 106]","[302, 209, 132, 70, 247, 234, 381, 380, 245, 97, 350]"
6,,,800,800,2000,"[88, 95, 52, 59, 91, 106, 58, 64, 69, 71, 47]","[47, 52, 58, 59, 64, 69, 71, 88, 91, 95, 106]","[209, 235, 132, 70, 247, 234, 381, 245, 97, 100, 350]"
