cost,points_total,indexes
918,1003,"[372, 253, 270, 122, 295, 288, 360, 117, 121, 501, 111]"
920,1157,"[372, 253, 270, 122, 295, 288, 360, 117, 501, 290, 468]"
918,1101,"[372, 253, 270, 122, 295, 288, 360, 117, 501, 290, 282]"
916,981,"[372, 253, 270, 122, 295, 288, 360, 117, 501, 290, 111]"
915,1155,"[372, 253, 270, 122, 295, 288, 360, 501, 290, 424, 468]"
913,1099,"[372, 253, 270, 122, 295, 288, 360, 501, 290, 424, 282]"
911,979,"[372, 253, 270, 122, 295, 288, 360, 501, 290, 424, 111]"
913,1133,"[372, 253, 270, 122, 295, 288, 117, 501, 290, 424, 468]"
911,1077,"[372, 253, 270, 122, 295, 288, 117, 501, 290, 424, 282]"
909,957,"[372, 253, 270, 122, 295, 288, 117, 501, 290, 424, 111]"
903,1131,"[372, 253, 270, 122, 295, 288, 501, 290, 424, 163, 468]"
901,1075,"[372, 253, 270, 122, 295, 288, 501, 290, 424, 163, 282]"
899,955,"[372, 253, 270, 122, 295, 288, 501, 290, 424, 163, 111]"
899,1118,"[372, 253, 270, 122, 295, 117, 501, 290, 424, 114, 468]"
897,1062,"[372, 253, 270, 122, 295, 117, 501, 290, 424, 114, 282]"
895,942,"[372, 253, 270, 122, 295, 117, 501, 290, 424, 114, 111]"
894,1116,"[372, 253, 270, 122, 295, 117, 501, 290, 424, 163, 468]"
892,1060,"[372, 253, 270, 122, 295, 117, 501, 290, 424, 163, 282]"
890,940,"[372, 253, 270, 122, 295, 117, 501, 290, 424, 163, 111]"
884,1114,"[372, 253, 270, 122, 295, 501, 290, 424, 163, 404, 468]"
882,1058,"[372, 253, 270, 122, 295, 501, 290, 424, 163, 404, 282]"
880,938,"[372, 253, 270, 122, 295, 501, 290, 424, 163, 404, 111]"
963,1853,"[372, 253, 270, 251, 295, 246, 247, 288, 265, 113, 468]"
961,1797,"[372, 253, 270, 251, 295, 246, 247, 288, 265, 113, 282]"
959,1677,"[372, 253, 270, 251, 295, 246, 247, 288, 265, 113, 111]"
960,1754,"[372, 253, 270, 251, 295, 246, 247, 288, 265, 267, 468]"
958,1698,"[372, 253, 270, 251, 295, 246, 247, 288, 265, 267, 282]"
956,1578,"[372, 253, 270, 251, 295, 246, 247, 288, 265, 267, 111]"
957,1699,"[372, 253, 270, 251, 295, 246, 288, 265, 113, 267, 468]"
955,1643,"[372, 253, 270, 251, 295, 246, 288, 265, 113, 267, 282]"
953,1523,"[372, 253, 270, 251, 295, 246, 288, 265, 113, 267, 111]"
956,1674,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 264, 468]"
954,1618,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 264, 282]"
952,1498,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 264, 111]"
955,1671,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 355, 468]"
953,1615,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 355, 282]"
951,1495,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 355, 111]"
953,1611,"[372, 253, 270, 251, 295, 246, 288, 265, 267, 264, 468]"
951,1555,"[372, 253, 270, 251, 295, 246, 288, 265, 267, 264, 282]"
949,1435,"[372, 253, 270, 251, 295, 246, 288, 265, 267, 264, 111]"
952,1608,"[372, 253, 270, 251, 295, 246, 288, 265, 267, 355, 468]"
950,1552,"[372, 253, 270, 251, 295, 246, 288, 265, 267, 355, 282]"
948,1432,"[372, 253, 270, 251, 295, 246, 288, 265, 267, 355, 111]"
951,1606,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 117, 468]"
949,1550,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 117, 282]"
947,1430,"[372, 253, 270, 251, 295, 246, 247, 288, 267, 117, 111]"
950,1561,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 264, 468]"
948,1505,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 264, 282]"
946,1385,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 264, 111]"
949,1558,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 355, 468]"
947,1502,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 355, 282]"
945,1382,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 355, 111]"
948,1528,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 355, 468]"
946,1472,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 355, 282]"
944,1352,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 355, 111]"
947,1515,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 360, 468]"
945,1459,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 360, 282]"
943,1339,"[372, 253, 270, 251, 295, 288, 265, 113, 267, 360, 111]"
946,1485,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 360, 468]"
944,1429,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 360, 282]"
942,1309,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 360, 111]"
945,1470,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 355, 468]"
943,1414,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 355, 282]"
941,1294,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 355, 111]"
944,1463,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 117, 468]"
942,1407,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 117, 282]"
940,1287,"[372, 253, 270, 251, 295, 246, 288, 267, 264, 117, 111]"
943,1427,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 360, 468]"
941,1371,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 360, 282]"
939,1251,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 360, 111]"
942,1424,"[372, 253, 270, 251, 295, 288, 265, 267, 355, 360, 468]"
940,1368,"[372, 253, 270, 251, 295, 288, 265, 267, 355, 360, 282]"
938,1248,"[372, 253, 270, 251, 295, 288, 265, 267, 355, 360, 111]"
941,1405,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 117, 468]"
939,1349,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 117, 282]"
937,1229,"[372, 253, 270, 251, 295, 288, 265, 267, 264, 117, 111]"
940,1402,"[372, 253, 270, 251, 295, 288, 265, 267, 355, 117, 468]"
938,1346,"[372, 253, 270, 251, 295, 288, 265, 267, 355, 117, 282]"
936,1226,"[372, 253, 270, 251, 295, 288, 265, 267, 355, 117, 111]"
939,1384,"[372, 253, 270, 251, 295, 288, 267, 264, 353, 360, 468]"
937,1328,"[372, 253, 270, 251, 295, 288, 267, 264, 353, 360, 282]"
935,1208,"[372, 253, 270, 251, 295, 288, 267, 264, 353, 360, 111]"
938,1344,"[372, 253, 270, 251, 295, 288, 267, 264, 355, 360, 468]"
936,1288,"[372, 253, 270, 251, 295, 288, 267, 264, 355, 360, 282]"
934,1168,"[372, 253, 270, 251, 295, 288, 267, 264, 355, 360, 111]"
936,1322,"[372, 253, 270, 251, 295, 288, 267, 264, 355, 117, 468]"
934,1266,"[372, 253, 270, 251, 295, 288, 267, 264, 355, 117, 282]"
932,1146,"[372, 253, 270, 251, 295, 288, 267, 264, 355, 117, 111]"
934,1279,"[372, 253, 270, 251, 295, 288, 267, 264, 360, 117, 468]"
932,1223,"[372, 253, 270, 251, 295, 288, 267, 264, 360, 117, 282]"
930,1103,"[372, 253, 270, 251, 295, 288, 267, 264, 360, 117, 111]"
933,1276,"[372, 253, 270, 251, 295, 288, 267, 355, 360, 117, 468]"
931,1220,"[372, 253, 270, 251, 295, 288, 267, 355, 360, 117, 282]"
929,1100,"[372, 253, 270, 251, 295, 288, 267, 355, 360, 117, 111]"
930,1265,"[372, 253, 270, 251, 295, 288, 267, 360, 284, 117, 468]"
928,1209,"[372, 253, 270, 251, 295, 288, 267, 360, 284, 117, 282]"
926,1089,"[372, 253, 270, 251, 295, 288, 267, 360, 284, 117, 111]"
928,1245,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 506, 468]"
926,1189,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 506, 282]"
924,1069,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 506, 111]"
927,1236,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 294, 468]"
925,1180,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 294, 282]"
923,1060,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 294, 111]"
926,1231,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 121, 468]"
924,1175,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 121, 282]"
922,1055,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 121, 111]"
924,1209,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 501, 468]"
922,1153,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 501, 282]"
920,1033,"[372, 253, 270, 251, 295, 288, 267, 360, 117, 501, 111]"
919,1206,"[372, 253, 270, 251, 295, 288, 360, 284, 117, 501, 468]"
917,1150,"[372, 253, 270, 251, 295, 288, 360, 284, 117, 501, 282]"
