first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Henrik,Heggheim,0,0,24,1483,31,0,0,2,5.7,47,DEF
Rolf Daniel,Vikstøl,1,2,48,1329,21,3,0,6,2.9,43,DEF
Herman,Haugen,0,0,9,183,5,0,0,0,2.2,40,DEF
Sebastian Sørlie,Henriksen,0,0,1,1,0,0,0,0,1.0,38,DEF
Kristoffer,Paulsen,0,0,1,1,0,0,0,0,0.3,39,DEF
Kevin,Kabran,3,6,76,1808,32,0,0,3,1.6,79,MID
Yann-Erik,de Lanlay,1,1,38,982,15,2,0,0,0.2,75,MID
Fredrik,Torsteinbø,0,2,26,859,20,0,0,0,1.5,61,MID
Samúel Kári,Fridjónsson,5,2,74,1487,28,3,0,5,8.6,62,MID
Johnny,Furdal,0,0,0,0,0,0,0,0,0.0,59,MID
Sebastian,Sebulonsen,4,2,93,2043,26,6,0,2,0.7,54,MID
Kristoffer,Løkberg,3,1,55,1294,18,5,0,4,1.6,47,MID
Sondre,Auklend,0,1,14,226,7,0,0,0,0.1,47,MID
Joe,Bell,1,9,110,2388,38,4,0,5,10.2,52,MID
Harald,Nilsen Tangen,5,4,95,1986,40,2,0,2,8.4,48,MID
Veton,Berisha,22,8,185,2333,40,4,0,2,41.0,113,FWD
Tommy,Høiland,0,0,8,77,2,0,0,0,1.5,55,FWD
Anders,Kristiansen,0,0,90,2689,44,7,0,3,1.5,55,GK
Simen Vidtun,Nilsen,0,0,1,10,0,0,0,0,0.2,44,GK
Joachim,Soltvedt,0,1,32,608,12,3,0,2,1.4,54,DEF
Joachim,Thomassen,3,1,88,2377,38,6,0,7,5.9,55,DEF
Eirik,Wichne,1,5,73,1687,29,4,0,2,3.1,56,DEF
Bjørn Inge,Utvik,0,1,83,2374,36,8,0,3,7.5,54,DEF
Magnar,Ødegaard,0,0,56,2149,29,5,0,4,2.4,50,DEF
Benjamin,Karamoko,0,1,37,1495,29,2,0,5,0.2,49,DEF
Mikael,Dyrestam,0,0,57,2097,32,5,0,3,0.3,50,DEF
Jørgen,Horn,0,0,0,0,0,0,0,0,0.0,49,DEF
Sulayman,Bojang,0,0,22,608,12,2,0,0,0.8,42,DEF
Sebastian,Jarl,0,0,5,82,3,0,0,1,0.1,44,DEF
Rashad,Muhammed,1,0,15,211,4,0,0,2,0.2,64,MID
Ole Jørgen,Halvorsen,1,3,49,955,14,4,0,3,0.5,62,MID
Jonathan,Lindseth,10,3,123,1834,24,4,0,3,13.3,69,MID
Anton,Salétros,3,8,103,2231,38,7,1,3,1.6,65,MID
Mohamed,Ofkir,0,0,8,296,6,0,0,0,0.2,64,MID
Aboubacar,Konte,0,0,0,0,0,0,0,0,0.1,55,MID
Gaute Høberg,Vetti,0,0,16,529,7,3,0,1,0.0,48,MID
Emil,Palsson,0,0,20,579,7,3,0,1,0.2,44,MID
Nicolai,Næss,0,1,48,1764,34,6,0,3,8.4,43,MID
Laurent Jacques,Mendy,0,0,5,122,3,1,0,0,0.9,43,MID
Emir,Derviskadic,0,0,0,0,0,0,0,0,0.1,44,MID
Kristian,Opseth,5,2,48,593,18,1,0,0,0.3,84,FWD
Ibrahima,Kone,11,4,115,2167,28,11,1,5,6.7,79,FWD
Mostafa,Abdellaoue,0,0,0,0,0,0,0,0,0.1,69,FWD
Steffen,Skålevik,1,0,13,254,6,0,0,0,1.2,58,FWD
Marcus,Sandberg,0,0,94,2568,58,6,1,2,2.1,55,GK
Jonas Vatne,Brauti,0,0,2,128,6,0,0,0,0.1,44,GK
Marius Amundsen,Ulla,0,0,0,0,0,0,0,0,0.1,44,GK
Mats,Solheim,0,1,19,671,17,2,0,2,5.7,54,DEF
Yaw,Amankwah,1,0,31,895,18,2,0,1,0.7,50,DEF
Jeppe,Moe,1,1,36,1004,19,2,0,3,0.3,48,DEF
Sturla,Ottesen,1,4,77,2610,61,6,0,5,2.8,45,DEF
Peder,Vogt,0,0,0,0,0,0,0,0,0.1,44,DEF
Nicolas,Pignatel Jenssen,0,0,51,2091,47,5,0,2,0.4,45,DEF
Emil,Jonassen,0,1,8,163,6,0,0,0,19.7,39,DEF
Oliver Valaker,Edvardsen,7,6,110,1659,40,5,0,1,7.9,69,MID
Herolind,Shala,0,3,31,663,14,3,0,2,1.2,64,MID
Kornelius Normann,Hansen,2,4,64,1809,48,4,1,2,1.1,64,MID
Herman,Geelmuyden,2,1,36,598,15,2,0,3,0.1,57,MID
Sammy,Skytte,2,0,35,1084,24,3,0,4,0.5,60,MID
Marcus,Solbakken,1,0,54,1747,46,3,0,1,0.6,54,MID
Kaloyan,Kostadinov,0,1,32,929,20,3,0,1,0.1,51,MID
Magnus,Strandman Lundal,0,0,0,0,0,0,0,0,0.1,55,MID
Jesper,Isaksen,1,2,33,889,29,0,0,4,0.1,49,MID
Tortol,Lumanza-Lembi,0,1,10,222,9,0,0,0,0.2,48,MID
Kristian Bernt,Torgersen,0,0,14,470,12,1,0,0,0.2,45,MID
Fitim,Azemi,2,0,37,1142,23,4,0,1,1.0,63,FWD
Kosuke,Kinoshita,1,0,19,595,13,2,0,1,2.6,54,FWD
Viljar,Myhra,0,0,93,2368,36,6,0,2,14.5,46,GK
Morten,Sætra,0,0,12,331,7,1,0,0,4.5,40,GK
Daniel,Skretteberg,0,0,0,0,0,0,0,0,0.4,40,GK
Lars-Christopher,Vilsvik,1,4,92,2260,33,6,0,1,5.2,46,DEF
Nico,Mickelson,0,0,4,64,0,0,0,0,0.3,44,DEF
Jonathan,Parr,0,3,56,1209,20,5,0,1,2.1,42,DEF
Duplexe Tchamba,Bangou,1,0,14,188,3,1,0,0,0.0,45,DEF
Ari,Leifsson,1,0,49,1436,23,5,0,6,0.9,42,DEF
Niklas,Gunnarsson,0,1,39,1531,26,3,0,5,0.3,44,DEF
Prosper,Mendy,0,0,9,407,11,0,0,0,0.2,45,DEF
Andreas Rosendal,Nyhagen,0,0,2,22,0,0,0,0,0.7,39,DEF
Sondre,Fosnaess Hanssen,0,0,2,90,1,0,0,0,6.5,38,DEF
Mikkel,Maigaard,1,4,62,1683,37,2,0,2,0.2,79,MID
Johan,Hove,6,6,123,2497,40,6,0,1,3.5,78,MID
Valdimar,Ingimundarson,0,1,19,395,11,0,0,2,0.1,64,MID
Kristoffer,Tokstad,3,1,40,564,10,1,0,1,0.2,57,MID
Halldor,Stenevik,2,5,90,2412,35,7,0,6,0.6,60,MID
Mustapha,Fofana,0,0,0,0,0,0,0,0,0.0,55,MID
Herman,Stengel,6,4,112,2560,40,8,0,4,8.0,55,MID
Aleksander,Stenseth,0,0,0,0,0,0,0,0,0.1,44,MID
Sebastian,Pop,0,0,0,0,0,0,0,0,0.1,44,MID
Ipalibo,Jack,3,0,50,991,14,5,0,3,0.3,44,MID
Kreshnik,Krasniqi,1,1,38,869,14,2,0,3,0.2,44,MID
Tobias Fjeld,Gulliksen,5,2,97,1932,24,9,0,5,5.0,47,MID
Fred,Friday,7,5,112,2480,40,7,0,3,8.3,80,FWD
Moses,Mawa,5,3,77,1800,36,4,0,3,3.1,73,FWD
Simen Hjerkinn,Hammershaug,0,0,1,9,0,0,0,0,0.8,44,FWD
Jacob,Karlstrøm,0,1,108,2700,44,8,0,1,17.4,47,GK
Mats,Trige,0,0,0,0,0,0,0,0,7.6,39,GK
Tomas,Totland,5,3,114,2392,42,7,0,3,19.2,60,DEF
Lasse,Nilsen,0,1,32,1122,21,3,0,2,0.6,48,DEF
Jostein,Gundersen,0,0,46,1590,27,5,0,6,0.8,43,DEF
Anders,Jenssen,1,1,63,2038,39,6,1,3,1.1,45,DEF
Adam,Arnarson,1,1,31,525,8,2,0,1,0.3,42,DEF
