first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Bobby,Allain,0,0,93,2070,43,3,0,4,1.8,50,GK
Mergim,Krasniqi,0,0,25,630,15,1,0,0,0.4,44,GK
Gustav,Leijon,0,0,0,0,0,0,0,0,1.2,40,GK
Kevin,Wright,0,0,24,1128,24,1,0,2,0.8,48,DEF
Andreas,Skovgaard,0,0,60,1961,44,3,1,6,1.3,53,DEF
Michael,Almebäck,0,0,37,1372,33,3,0,3,7.0,41,DEF
Niclas,Bergmark,0,0,12,518,11,0,0,2,2.4,38,DEF
Daniel,Björnquist,0,0,31,864,22,2,0,0,0.4,44,DEF
Arvid,Brorsson,0,0,0,0,0,0,0,0,0.0,43,DEF
Hussein,Ali,0,3,62,1622,31,3,0,3,1.8,42,DEF
Benjamin,Hjertstrand,0,2,71,2331,51,3,0,2,0.5,42,DEF
Martin,Broberg,1,1,17,222,5,0,0,1,0.2,53,MID
Alfred,Ajdarevic,0,0,0,0,0,0,0,0,0.4,43,MID
Dennis,Collander,2,1,57,1420,29,4,0,2,2.0,45,MID
Jake,Larsson,1,0,39,883,20,2,0,1,0.4,64,MID
Noel,Milleskog,0,1,15,312,5,1,0,0,0.0,44,MID
Nordin,Gerzic,1,0,44,1138,25,0,0,4,1.1,52,MID
David,Seger,1,3,82,1917,43,4,0,3,1.5,58,MID
Kevin,Walker,0,2,58,1485,32,2,0,6,0.6,53,MID
Taha,Ali,0,0,2,12,0,0,0,0,0.1,50,MID
Robin,Book,0,0,0,0,0,0,0,0,0.0,53,MID
Johan,Mårtensson,1,1,71,1879,37,4,0,6,2.4,45,MID
Rasmus,Karjalainen,0,0,0,0,0,0,0,0,0.2,58,FWD
Erik,Björndahl,0,0,15,345,10,1,0,1,0.3,52,FWD
Agon,Mehmeti,4,0,43,692,15,2,0,1,1.2,58,FWD
Deniz,Hümmet,5,0,57,1276,25,3,0,2,3.1,62,FWD
Anton,Ingves,0,0,2,11,0,0,0,0,0.0,45,MID
Jiloan,Hamad,0,1,48,1288,28,2,1,2,0.2,75,MID
Nahir,Besara,4,3,79,1494,31,2,0,3,1.0,77,MID
Nasiru,Moro,0,1,41,1104,23,1,1,3,0.1,45,DEF
Richard Emeka,Friday,0,0,15,614,14,0,0,3,0.0,55,FWD
Patrick Luan,Dos Santos,0,0,5,131,7,0,0,1,0.0,52,FWD
Ahmed,Yasin Ghani Mousa,2,0,16,177,4,1,0,0,0.0,65,MID
Robin,Damstrom,0,0,0,0,0,0,0,0,0.0,40,FWD
Johannes,Danho,0,0,0,0,0,0,0,0,0.0,40,DEF
Filip,Ivarsson,0,0,0,0,0,0,0,0,0.0,45,MID
Oscar,Jansson,0,0,124,2700,41,5,0,0,22.6,59,GK
Julius,Lindgren,0,0,0,0,0,0,0,0,0.3,44,GK
Felix,Jakobsson,0,0,0,0,0,0,0,0,0.1,40,GK
Wille,Jakobsson,0,0,0,0,0,0,0,0,0.1,44,GK
Egzon,Binaku,0,0,1,3,1,0,0,0,0.1,47,DEF
Henrik,Castegren,1,2,80,2000,35,3,0,6,5.1,57,DEF
Christopher,Telo,0,0,25,685,14,1,0,1,0.2,53,DEF
Finnur Tómas,Palmasson,0,0,0,0,0,0,0,0,0.1,47,DEF
Oliver,Stefansson,0,0,0,0,0,0,0,0,0.4,38,DEF
Viktor,Agardius,1,2,81,1908,28,4,0,4,3.7,52,DEF
Kevin,Álvarez,0,0,2,36,1,0,0,0,0.2,50,DEF
Theodore,Rask,0,0,12,242,6,0,0,0,1.8,38,DEF
Linus,Wahlqvist,3,6,129,2478,39,5,0,2,11.4,64,DEF
